"week","inventory_needed","number_of_items_needed"
37,"10055.021620",33
38,"10055.021620",33
39,"10055.021620",33
40,"10055.021620",33
41,"10055.021620",32
42,"10055.021620",32
43,"10055.021620",32
44,"10055.021620",32
45,"10055.021620",32
46,"10055.021620",32
47,"10055.021620",31
48,"10055.021620",31
49,"10055.021620",31
50,"10055.021620",31
51,"10055.021620",31
52,"10055.021620",31
53,"10055.021620",30
1,"10055.021625",129
2,"10055.021625",103
3,"10055.021625",100
4,"10055.021625",97
5,"10055.021625",94
6,"10055.021625",91
7,"10055.021625",89
8,"10055.021625",86
9,"10055.021625",84
10,"10055.021625",81
11,"10055.021625",79
12,"10055.021625",77
13,"10055.021625",75
14,"10055.021625",73
15,"10055.021625",71
16,"10055.021625",69
17,"10055.021625",67
18,"10055.021625",65
19,"10055.021625",63
20,"10055.021625",61
21,"10055.021625",59
22,"10055.021625",58
23,"10055.021625",56
24,"10055.021625",54
25,"10055.021625",53
26,"10055.021625",51
27,"10055.021625",50
28,"10055.021625",49
29,"10055.021625",47
30,"10055.021625",46
31,"10055.021625",45
32,"10055.021625",43
33,"10055.021625",42
34,"10055.021625",41
35,"10055.021625",40
36,"10055.021625",39
37,"10055.021625",37
38,"10055.021625",36
39,"10055.021625",35
40,"10055.021625",34
41,"10055.021625",33
42,"10055.021625",32
43,"10055.021625",31
44,"10055.021625",31
45,"10055.021625",30
46,"10055.021625",29
47,"10055.021625",28
48,"10055.021625",27
49,"10055.021625",26
50,"10055.021625",26
51,"10055.021625",25
52,"10055.021625",24
53,"10055.021625",24
1,"10055.022020",112
2,"10055.022020",82
3,"10055.022020",80
4,"10055.022020",79
5,"10055.022020",77
6,"10055.022020",76
7,"10055.022020",74
8,"10055.022020",73
9,"10055.022020",71
10,"10055.022020",70
11,"10055.022020",68
12,"10055.022020",67
13,"10055.022020",65
14,"10055.022020",64
15,"10055.022020",63
16,"10055.022020",61
17,"10055.022020",60
18,"10055.022020",59
19,"10055.022020",58
20,"10055.022020",57
21,"10055.022020",55
22,"10055.022020",54
23,"10055.022020",53
24,"10055.022020",52
25,"10055.022020",51
26,"10055.022020",50
27,"10055.022020",49
28,"10055.022020",48
29,"10055.022020",47
30,"10055.022020",46
31,"10055.022020",45
32,"10055.022020",44
33,"10055.022020",43
34,"10055.022020",42
35,"10055.022020",42
36,"10055.022020",41
37,"10055.022020",40
38,"10055.022020",39
39,"10055.022020",38
40,"10055.022020",37
41,"10055.022020",37
42,"10055.022020",36
43,"10055.022020",35
44,"10055.022020",34
45,"10055.022020",34
46,"10055.022020",33
47,"10055.022020",32
48,"10055.022020",32
49,"10055.022020",31
50,"10055.022020",30
51,"10055.022020",30
52,"10055.022020",29
53,"10055.022020",29
1,"10055.022025",60
2,"10055.022025",32
3,"10055.022025",32
4,"10055.022025",32
5,"10055.022025",32
6,"10055.022025",32
7,"10055.022025",31
8,"10055.022025",31
9,"10055.022025",31
10,"10055.022025",31
11,"10055.022025",31
12,"10055.022025",31
13,"10055.022025",31
14,"10055.022025",31
15,"10055.022025",31
16,"10055.022025",31
17,"10055.022025",31
18,"10055.022025",30
19,"10055.022025",30
20,"10055.022025",30
21,"10055.022025",30
22,"10055.022025",30
23,"10055.022025",30
24,"10055.022025",30
25,"10055.022025",30
26,"10055.022025",30
27,"10055.022025",30
28,"10055.022025",29
29,"10055.022025",29
30,"10055.022025",29
31,"10055.022025",29
32,"10055.022025",29
33,"10055.022025",29
34,"10055.022025",29
35,"10055.022025",29
36,"10055.022025",29
37,"10055.022025",29
38,"10055.022025",29
39,"10055.022025",28
40,"10055.022025",28
41,"10055.022025",28
42,"10055.022025",28
43,"10055.022025",28
44,"10055.022025",28
45,"10055.022025",28
46,"10055.022025",28
47,"10055.022025",28
48,"10055.022025",28
49,"10055.022025",28
50,"10055.022025",27
51,"10055.022025",27
52,"10055.022025",27
53,"10055.022025",27
1,"10055.022424",90
2,"10055.022424",72
3,"10055.022424",70
4,"10055.022424",68
5,"10055.022424",66
6,"10055.022424",64
7,"10055.022424",62
8,"10055.022424",61
9,"10055.022424",59
10,"10055.022424",57
11,"10055.022424",55
12,"10055.022424",54
13,"10055.022424",52
14,"10055.022424",51
15,"10055.022424",49
16,"10055.022424",48
17,"10055.022424",47
18,"10055.022424",45
19,"10055.022424",44
20,"10055.022424",43
21,"10055.022424",41
22,"10055.022424",40
23,"10055.022424",39
24,"10055.022424",38
25,"10055.022424",37
26,"10055.022424",36
27,"10055.022424",35
28,"10055.022424",34
29,"10055.022424",33
30,"10055.022424",32
31,"10055.022424",31
32,"10055.022424",30
33,"10055.022424",29
34,"10055.022424",28
35,"10055.022424",27
36,"10055.022424",27
37,"10055.022424",26
38,"10055.022424",25
39,"10055.022424",24
40,"10055.022424",24
41,"10055.022424",23
42,"10055.022424",22
43,"10055.022424",22
44,"10055.022424",21
45,"10055.022424",20
46,"10055.022424",20
47,"10055.022424",19
48,"10055.022424",19
49,"10055.022424",18
50,"10055.022424",18
51,"10055.022424",17
52,"10055.022424",17
53,"10055.022424",16
1,"10155.022020",893
2,"10155.022020",769
3,"10155.022020",738
4,"10155.022020",709
5,"10155.022020",680
6,"10155.022020",653
7,"10155.022020",627
8,"10155.022020",602
9,"10155.022020",578
10,"10155.022020",555
11,"10155.022020",533
12,"10155.022020",511
13,"10155.022020",491
14,"10155.022020",471
15,"10155.022020",452
16,"10155.022020",434
17,"10155.022020",417
18,"10155.022020",400
19,"10155.022020",384
20,"10155.022020",369
21,"10155.022020",354
22,"10155.022020",340
23,"10155.022020",326
24,"10155.022020",313
25,"10155.022020",301
26,"10155.022020",289
27,"10155.022020",277
28,"10155.022020",266
29,"10155.022020",255
30,"10155.022020",245
31,"10155.022020",235
32,"10155.022020",226
33,"10155.022020",217
34,"10155.022020",208
35,"10155.022020",200
36,"10155.022020",192
37,"10155.022020",184
38,"10155.022020",177
39,"10155.022020",170
40,"10155.022020",163
41,"10155.022020",156
42,"10155.022020",150
43,"10155.022020",144
44,"10155.022020",138
45,"10155.022020",133
46,"10155.022020",127
47,"10155.022020",122
48,"10155.022020",117
49,"10155.022020",113
50,"10155.022020",108
51,"10155.022020",104
52,"10155.022020",100
53,"10155.022020",96
1,"107036048",63
2,"107036048",40
3,"107036048",39
4,"107036048",39
5,"107036048",38
6,"107036048",38
7,"107036048",37
8,"107036048",37
9,"107036048",37
10,"107036048",36
11,"107036048",36
12,"107036048",36
13,"107036048",35
14,"107036048",35
15,"107036048",34
16,"107036048",34
17,"107036048",34
18,"107036048",33
19,"107036048",33
20,"107036048",33
21,"107036048",32
22,"107036048",32
23,"107036048",32
24,"107036048",31
25,"107036048",31
26,"107036048",31
27,"107036048",30
28,"107036048",30
29,"107036048",30
30,"107036048",29
31,"107036048",29
32,"107036048",29
33,"107036048",28
34,"107036048",28
35,"107036048",28
36,"107036048",28
37,"107036048",27
38,"107036048",27
39,"107036048",27
40,"107036048",26
41,"107036048",26
42,"107036048",26
43,"107036048",26
44,"107036048",25
45,"107036048",25
46,"107036048",25
47,"107036048",24
48,"107036048",24
49,"107036048",24
50,"107036048",24
51,"107036048",23
52,"107036048",23
53,"107036048",23
1,"153-2025",64
2,"153-2025",2
3,"153-2025",2
4,"153-2025",3
5,"153-2025",3
6,"153-2025",3
7,"153-2025",3
8,"153-2025",3
9,"153-2025",4
10,"153-2025",4
11,"153-2025",4
12,"153-2025",4
13,"153-2025",5
14,"153-2025",5
15,"153-2025",5
16,"153-2025",6
17,"153-2025",6
18,"153-2025",7
19,"153-2025",7
20,"153-2025",7
21,"153-2025",8
22,"153-2025",9
23,"153-2025",9
24,"153-2025",10
25,"153-2025",10
26,"153-2025",11
27,"153-2025",12
28,"153-2025",12
29,"153-2025",13
30,"153-2025",14
31,"153-2025",15
32,"153-2025",16
33,"153-2025",17
34,"153-2025",18
35,"153-2025",19
36,"153-2025",20
37,"153-2025",22
38,"153-2025",23
39,"153-2025",25
40,"153-2025",26
41,"153-2025",28
42,"153-2025",30
43,"153-2025",31
44,"153-2025",33
45,"153-2025",36
46,"153-2025",38
47,"153-2025",40
48,"153-2025",43
49,"153-2025",45
50,"153-2025",48
51,"153-2025",51
52,"153-2025",55
53,"153-2025",58
1,"153-2424",447
2,"153-2424",159
3,"153-2424",161
4,"153-2424",163
5,"153-2424",165
6,"153-2424",167
7,"153-2424",169
8,"153-2424",171
9,"153-2424",173
10,"153-2424",175
11,"153-2424",177
12,"153-2424",179
13,"153-2424",181
14,"153-2424",183
15,"153-2424",185
16,"153-2424",187
17,"153-2424",189
18,"153-2424",191
19,"153-2424",194
20,"153-2424",196
21,"153-2424",198
22,"153-2424",200
23,"153-2424",203
24,"153-2424",205
25,"153-2424",207
26,"153-2424",210
27,"153-2424",212
28,"153-2424",215
29,"153-2424",217
30,"153-2424",220
31,"153-2424",222
32,"153-2424",225
33,"153-2424",227
34,"153-2424",230
35,"153-2424",233
36,"153-2424",235
37,"153-2424",238
38,"153-2424",241
39,"153-2424",243
40,"153-2424",246
41,"153-2424",249
42,"153-2424",252
43,"153-2424",255
44,"153-2424",258
45,"153-2424",261
46,"153-2424",264
47,"153-2424",267
48,"153-2424",270
49,"153-2424",273
50,"153-2424",276
51,"153-2424",279
52,"153-2424",283
53,"153-2424",286
1,"154-2020",61
2,"154-2020",23
3,"154-2020",23
4,"154-2020",24
5,"154-2020",24
6,"154-2020",24
7,"154-2020",24
8,"154-2020",24
9,"154-2020",25
10,"154-2020",25
11,"154-2020",25
12,"154-2020",25
13,"154-2020",26
14,"154-2020",26
15,"154-2020",26
16,"154-2020",26
17,"154-2020",27
18,"154-2020",27
19,"154-2020",27
20,"154-2020",27
21,"154-2020",28
22,"154-2020",28
23,"154-2020",28
24,"154-2020",28
25,"154-2020",29
26,"154-2020",29
27,"154-2020",29
28,"154-2020",29
29,"154-2020",30
30,"154-2020",30
31,"154-2020",30
32,"154-2020",30
33,"154-2020",31
34,"154-2020",31
35,"154-2020",31
36,"154-2020",32
37,"154-2020",32
38,"154-2020",32
39,"154-2020",32
40,"154-2020",33
41,"154-2020",33
42,"154-2020",33
43,"154-2020",34
44,"154-2020",34
45,"154-2020",34
46,"154-2020",35
47,"154-2020",35
48,"154-2020",35
49,"154-2020",35
50,"154-2020",36
51,"154-2020",36
52,"154-2020",36
53,"154-2020",37
1,"154-2424",418
2,"154-2424",243
3,"154-2424",242
4,"154-2424",240
5,"154-2424",239
6,"154-2424",237
7,"154-2424",236
8,"154-2424",234
9,"154-2424",232
10,"154-2424",231
11,"154-2424",229
12,"154-2424",228
13,"154-2424",226
14,"154-2424",225
15,"154-2424",223
16,"154-2424",222
17,"154-2424",221
18,"154-2424",219
19,"154-2424",218
20,"154-2424",216
21,"154-2424",215
22,"154-2424",213
23,"154-2424",212
24,"154-2424",211
25,"154-2424",209
26,"154-2424",208
27,"154-2424",207
28,"154-2424",205
29,"154-2424",204
30,"154-2424",203
31,"154-2424",201
32,"154-2424",200
33,"154-2424",199
34,"154-2424",197
35,"154-2424",196
36,"154-2424",195
37,"154-2424",193
38,"154-2424",192
39,"154-2424",191
40,"154-2424",190
41,"154-2424",188
42,"154-2424",187
43,"154-2424",186
44,"154-2424",185
45,"154-2424",184
46,"154-2424",182
47,"154-2424",181
48,"154-2424",180
49,"154-2424",179
50,"154-2424",178
51,"154-2424",176
52,"154-2424",175
53,"154-2424",174
1,"154-2424BB",137
2,"154-2424BB",49
3,"154-2424BB",50
4,"154-2424BB",50
5,"154-2424BB",51
6,"154-2424BB",51
7,"154-2424BB",52
8,"154-2424BB",52
9,"154-2424BB",53
10,"154-2424BB",54
11,"154-2424BB",54
12,"154-2424BB",55
13,"154-2424BB",55
14,"154-2424BB",56
15,"154-2424BB",57
16,"154-2424BB",57
17,"154-2424BB",58
18,"154-2424BB",59
19,"154-2424BB",59
20,"154-2424BB",60
21,"154-2424BB",61
22,"154-2424BB",61
23,"154-2424BB",62
24,"154-2424BB",63
25,"154-2424BB",63
26,"154-2424BB",64
27,"154-2424BB",65
28,"154-2424BB",66
29,"154-2424BB",66
30,"154-2424BB",67
31,"154-2424BB",68
32,"154-2424BB",69
33,"154-2424BB",69
34,"154-2424BB",70
35,"154-2424BB",71
36,"154-2424BB",72
37,"154-2424BB",72
38,"154-2424BB",73
39,"154-2424BB",74
40,"154-2424BB",75
41,"154-2424BB",76
42,"154-2424BB",77
43,"154-2424BB",77
44,"154-2424BB",78
45,"154-2424BB",79
46,"154-2424BB",80
47,"154-2424BB",81
48,"154-2424BB",82
49,"154-2424BB",83
50,"154-2424BB",84
